URN,LAcode,LAname,EstablishmentNumber,EstablishmentName,TypeOfEstablishmentcode,TypeOfEstablishmentname,EstablishmentTypeGroupcode,EstablishmentTypeGroupname,EstablishmentStatuscode,EstablishmentStatusname,ReasonEstablishmentOpenedcode,ReasonEstablishmentOpenedname,OpenDate,ReasonEstablishmentClosedcode,ReasonEstablishmentClosedname,CloseDate,PhaseOfEducationcode,PhaseOfEducationname,StatutoryLowAge,StatutoryHighAge,Boarderscode,Boardersname,NurseryProvisionname,OfficialSixthFormcode,OfficialSixthFormname,Gendercode,Gendername,ReligiousCharactercode,ReligiousCharactername,ReligiousEthosname,Diocesecode,Diocesename,AdmissionsPolicycode,AdmissionsPolicyname,SchoolCapacity,SpecialClassescode,SpecialClassesname,CensusDate,NumberOfPupils,NumberOfBoys,NumberOfGirls,PercentageFSM,TrustSchoolFlagcode,TrustSchoolFlagname,Trustscode,Trustsname,SchoolSponsorFlagname,SchoolSponsorsname,FederationFlagname,Federationscode,Federationsname,UKPRN,FEHEIdentifier,FurtherEducationTypename,OfstedLastInsp,OfstedSpecialMeasurescode,OfstedSpecialMeasuresname,LastChangedDate,Street,Locality,Address3,Town,Countyname,Postcode,SchoolWebsite,TelephoneNum,HeadTitlename,HeadFirstName,HeadLastName,HeadPreferredJobTitle,BSOInspectorateNamename,InspectorateReport,DateOfLastInspectionVisit,NextInspectionVisit,TeenMothname,TeenMothPlaces,CCFname,SENPRUname,EBDname,PlacesPRU,FTProvname,EdByOthername,Section41Approvedname,SEN1name,SEN2name,SEN3name,SEN4name,SEN5name,SEN6name,SEN7name,SEN8name,SEN9name,SEN10name,SEN11name,SEN12name,SEN13name,TypeOfResourcedProvisionname,ResourcedProvisionOnRoll,ResourcedProvisionCapacity,SenUnitOnRoll,SenUnitCapacity,GORcode,GORname,DistrictAdministrativecode,DistrictAdministrativename,AdministrativeWardcode,AdministrativeWardname,ParliamentaryConstituencycode,ParliamentaryConstituencyname,UrbanRuralcode,UrbanRuralname,GSSLACodename,Easting,Northing,CensusAreaStatisticWardname,MSOAname,LSOAname,InspectorateNamename,SENStat,SENNoStat,BoardingEstablishmentname,PropsName,PreviousLAcode,PreviousLAname,PreviousEstablishmentNumber,OfstedRatingname,RSCRegionname,Countryname,UPRN,SiteName,MSOAcode,LSOAcode
100000,201,City of London,3614,The Aldgate School,2,Voluntary aided school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Does not apply,CE23,Diocese of London,0,Not applicable,245,2,No Special Classes,2026-01-15,229,122,107,22.7,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10079319,null,Not applicable,null,null,null,2026-06-29,St James's Passage,Duke's Place,null,London,null,EC3A 5DE,www.thealdgateschool.org,2072831147,Miss,Alexandra,Allan,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000001,City of London,E05009308,Portsoken,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,533498,181201,null,City of London 001,City of London 001F,null,null,null,null,null,999,null,null,null,null,null,200000071925,null,E02000001,E01032739
100001,201,City of London,6005,City of London School for Girls,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,1920-01-01,0,Not applicable,null,0,Not applicable,10,18,1,No boarders,No Nursery Classes,1,Has a sixth form,2,Girls,6,None,Inter- / non- denominational,0000,Not applicable,2,Selective,860,2,No Special Classes,2024-01-18,794,0,794,null,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10013279,null,Not applicable,null,null,null,2026-07-23,St Giles' Terrace,Barbican,null,London,null,EC2Y 8BB,http://www.clsg.org.uk,2078475500,Mrs,Jenny,Brown,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not approved,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000001,City of London,E05009302,Cripplegate,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,532301,181746,null,City of London 001,City of London 001B,ISI,1,138,Does not have boarders,Corporation of London,999,null,null,null,null,null,200000074660,null,E02000001,E01000002
100002,201,City of London,6006,St Paul's Cathedral School,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,1939-01-01,0,Not applicable,null,0,Not applicable,4,13,3,Boarding school,No Nursery Classes,2,Does not have a sixth form,3,Mixed,2,Church of England,Christian,0000,Not applicable,0,Not applicable,285,2,No Special Classes,2024-01-18,280,156,124,null,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10018890,null,Not applicable,null,null,null,2026-07-23,2 New Change,null,null,London,null,EC4M 9AD,http://www.spcslondon.com,2072485156,Mrs,Judith,Fremont-Barnes,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not approved,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000001,City of London,E05009293,Bread Street,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,532160,181151,null,City of London 001,City of London 001F,ISI,0,30,Has boarders,The Chapter of St Paul’s Cathedral,999,null,null,null,null,null,200000072075,null,E02000001,E01032739
100003,201,City of London,6007,City of London School,11,Other independent school,3,Independent schools,1,Open,0,Not applicable,1919-01-01,0,Not applicable,null,0,Not applicable,10,18,1,No boarders,No Nursery Classes,1,Has a sixth form,1,Boys,6,None,None,0000,Not applicable,0,Not applicable,1100,2,No Special Classes,2024-01-18,1040,1040,0,null,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10008165,null,Not applicable,null,null,null,2026-08-13,107 Queen Victoria Street,null,null,London,null,EC4V 3AL,http://www.cityoflondonschool.org.uk,2036806300,Mr,Alan,Bird,Head,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not approved,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000001,City of London,E05009309,Queenhithe,E14001172,Cities of London and Westminster,UN1,Urban: Nearer to a major town or city,E09000001,531981,180844,null,City of London 001,City of London 001F,ISI,1,174,Does not have boarders,City of London Corporation(Board of Governors of City of London School,999,null,null,null,null,null,100022936607,null,E02000001,E01032739
100004,202,Camden,1045,Sherborne Nursery School,15,Local authority nursery school,4,Local authority maintained schools,2,Closed,0,Not applicable,null,0,Not applicable,1992-08-31,1,Nursery,3,5,1,No boarders,Not applicable,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,null,0,Not applicable,null,null,null,null,null,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,null,null,Not applicable,null,null,null,2015-09-24,Priestly House,Athlone Street,null,London,null,NW5 4LP,null,null,null,null,null,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05000136,Haverstock,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,528515,184869,null,Camden 007,Camden 007D,null,null,null,null,null,999,null,null,null,null,null,200163898,null,E02000172,E01000901
100005,202,Camden,1048,Thomas Coram Centre,15,Local authority nursery school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,1,Nursery,2,5,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,null,0,Not applicable,2026-01-15,105,65,40,35.8,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,null,null,Not applicable,null,null,null,2026-06-29,49 Mecklenburgh Square,null,null,London,null,WC1N 2NY,http://www.thomascoram.camden.sch.uk/,2075200385,Ms,Perina,Holness,Head Teacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013666,King's Cross,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,530464,182403,null,Camden 029,Camden 029G,null,null,null,null,null,999,null,null,null,null,null,5088037,null,E02007115,E01000937
100006,202,Camden,1100,Heath School,14,Pupil referral unit,4,Local authority maintained schools,1,Open,0,Not applicable,1999-09-01,0,Not applicable,null,0,Not applicable,11,16,1,No boarders,Not applicable,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,null,0,Not applicable,2026-01-15,33,21,12,81.8,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10016665,null,Not applicable,null,null,null,2026-06-29,Agincourt Road,null,null,London,null,NW3 2NY,http://heath.h3federation.org.uk/,2079748906,Mr,Alex,Wilson,Headteacher,Not applicable,null,null,null,Does not provide places for Teen Mothers,null,Does not have child care facilities,PRU Does have Provision for SEN,PRU Does have EBD provision,65,PRU offers full time provision,Does not offer tuition by another provider,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013658,Gospel Oak,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,527663,185479,null,Camden 006,Camden 006B,null,null,null,null,null,999,null,null,null,null,null,5109310,null,E02000171,E01000887
100007,202,Camden,1101,Camden Primary Pupil Referral Unit,14,Pupil referral unit,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,0,Not applicable,5,11,1,No boarders,Not applicable,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,20,0,Not applicable,2026-01-15,20,17,3,85,0,Not applicable,null,null,Not applicable,null,Not applicable,null,null,10077053,null,Not applicable,null,null,null,2026-06-29,"Robson House, Netley Campus",74 Stanhope Street,null,London,null,NW1 3EX,http://www.robsonhouse.org.uk/main/,2037720370,Mr,John,Hayes,Executive Head,Not applicable,null,null,null,Not applicable,null,Not applicable,PRU Does have Provision for SEN,PRU Does have EBD provision,null,PRU offers full time provision,Not applicable,Not applicable,"SEMH - Social, Emotional and Mental Health",null,null,null,null,null,null,null,null,null,null,null,null,SEN unit,null,null,20,20,H,London,E09000007,Camden,E05013668,Regent's Park,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529082,182617,null,Camden 023,Camden 023F,null,null,null,null,null,999,null,null,null,null,null,10091911459,null,E02000188,E01035710
100008,202,Camden,2019,Argyle Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,432,2,No Special Classes,2026-01-15,269,132,137,68.8,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10078065,null,Not applicable,null,null,null,2026-07-21,Tonbridge Street,null,null,London,null,WC1H 9EG,http://www.argyle.camden.sch.uk/,2078374590,Ms,Jemima,Wade,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013666,King's Cross,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,530238,182761,null,Camden 029,Camden 029D,null,null,null,null,null,999,null,null,null,null,null,5090707,null,E02007115,E01000941
100009,202,Camden,2036,West Hampstead Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,446,2,No Special Classes,2026-01-15,424,214,210,46.2,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10077183,null,Not applicable,null,null,null,2026-06-29,Dornfell Street,West Hampstead,null,London,null,NW6 1QL,http://www.westhampstead.camden.sch.uk/,2074358646,Mr,Samuel,Drake,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013656,Fortune Green,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,524888,185067,null,Camden 005,Camden 005C,null,null,null,null,null,999,null,null,null,null,null,5090655,null,E02000170,E01000873
100010,202,Camden,2065,Brecknock Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,2,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,303,2,No Special Classes,2026-01-15,282,131,151,69.7,0,Not applicable,null,null,Not applicable,null,Supported by a federation,17794,The Brecknock and Torriano Schools Federation,10073852,null,Not applicable,null,null,null,2026-06-30,Cliff Villas,Camden,null,London,null,NW1 9AL,http://www.brecknock.camden.sch.uk/,2074856334,Ms,Helen,Bruckdorfer,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013654,Camden Square,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529912,184835,null,Camden 015,Camden 015E,null,null,null,null,null,999,null,null,null,null,null,5090625,null,E02000180,E01000869
100011,202,Camden,2078,Brookfield Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,2,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459,2,No Special Classes,2026-01-15,372,192,180,38.1,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10078064,null,Not applicable,null,null,null,2026-06-29,Chester Road,null,null,London,null,N19 5DH,http://www.brookfield.camden.sch.uk/,2072729627,Mr,Simon,Shiel,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013661,Highgate,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,528706,186594,null,Camden 001,Camden 001B,null,null,null,null,null,999,null,null,null,null,null,5109551,null,E02000166,E01000908
100012,202,Camden,2095,Carlton Primary School,1,Community school,4,Local authority maintained schools,2,Closed,0,Not applicable,null,1,Result of Amalgamation/Merger,2021-08-31,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,436,2,No Special Classes,2021-01-21,211,109,102,57.8,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10078063,null,Not applicable,null,null,null,2021-08-31,Grafton Road,null,null,London,null,NW5 4AX,null,null,Ms,Jacqueline,Phelan,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,Not applicable,null,null,null,null,H,London,E09000007,Camden,E05000134,Gospel Oak,E14000750,Holborn and St Pancras,A1,(England/Wales) Urban major conurbation,E09000007,528386,185209,null,Camden 007,Camden 007C,null,null,null,null,null,999,null,null,null,null,null,5069952,null,E02000172,E01000891
100013,202,Camden,2184,Edith Neville Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,236,2,No Special Classes,2026-01-15,211,107,104,52.6,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10078062,null,Not applicable,null,null,null,2026-06-29,85 Polygon Road,null,null,London,null,NW1 1HQ,http://www.edithneville.camden.sch.uk/,2073877158,null,Ruby,Nasser,Acting Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013669,St Pancras & Somers Town,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529725,183195,null,Camden 022,Camden 022G,null,null,null,null,null,999,null,null,null,null,United Kingdom,5004531,null,E02000187,E01035709
100014,202,Camden,2219,Fleet Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,210,2,No Special Classes,2026-01-15,216,114,102,54.6,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10078061,null,Not applicable,null,null,null,2026-06-29,Fleet Road,null,Fleet Primary School,London,null,NW3 2QT,http://www.fleet.camden.sch.uk/,2074852028,null,Donald,McGibbon,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013658,Gospel Oak,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,527677,185424,null,Camden 006,Camden 006B,null,null,null,null,null,999,null,null,null,null,null,5090740,null,E02000171,E01000887
100015,202,Camden,2290,Hawley Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,236,2,No Special Classes,2026-01-15,220,117,103,54.1,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10075421,null,Not applicable,null,null,null,2026-06-29,Hawley Road,null,null,London,null,NW1 8RP,http://www.hawley.camden.sch.uk/,2074855020,Ms,Sally Hill,/ Ms Natalie Stevenson,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013655,Camden Town,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,528886,184273,null,Camden 019,Camden 019A,null,null,null,null,null,999,null,null,null,null,null,5185814,null,E02000184,E01000856
100016,202,Camden,2357,Kingsgate Junior School,1,Community school,4,Local authority maintained schools,2,Closed,0,Not applicable,null,1,Result of Amalgamation/Merger,2000-08-31,2,Primary,7,11,1,No boarders,No Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,null,2,No Special Classes,null,null,null,null,null,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,null,null,Not applicable,null,null,null,2018-11-14,Messina Avenue,null,null,London,null,NW6 4LB,null,null,Mr,R,Manton,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05000140,Kilburn,E14000727,Hampstead and Kilburn,A1,(England/Wales) Urban major conurbation,E09000007,525140,184253,null,Camden 013,Camden 013C,null,null,null,null,null,999,null,null,null,null,null,5090693,null,E02000178,E01000931
100017,202,Camden,2358,Kingsgate Infant School,1,Community school,4,Local authority maintained schools,2,Closed,0,Not applicable,null,1,Result of Amalgamation/Merger,2000-08-31,2,Primary,3,7,1,No boarders,Has Nursery Classes,0,Not applicable,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,null,2,No Special Classes,null,null,null,null,null,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,null,null,Not applicable,null,null,null,2018-11-14,Kingsgate Road,null,null,London,null,NW6 2JG,null,null,Mrs,L,Manton,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05000140,Kilburn,E14000727,Hampstead and Kilburn,A1,(England/Wales) Urban major conurbation,E09000007,525140,184253,null,Camden 013,Camden 013C,null,null,null,null,null,999,null,null,null,null,null,null,null,E02000178,E01000931
100018,202,Camden,2436,Netley Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,2,11,0,Not applicable,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,481,1,Has Special Classes,2026-01-15,383,207,176,63.3,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10069172,null,Not applicable,null,null,null,2026-06-29,74 Stanhope Street,Camden,null,London,null,NW1 3EX,www.netley.camden.sch.uk/,2037720350,Mr,Gareth Morris (Head of School),John Hayes (Executive Head),Executive Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,null,null,null,null,null,null,null,null,null,null,null,null,Resourced provision,30,30,null,null,H,London,E09000007,Camden,E05013668,Regent's Park,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529095,182598,null,Camden 023,Camden 023F,null,null,null,null,null,999,null,null,null,null,null,5172210,null,E02000188,E01035710
100019,202,Camden,2438,New End Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459,2,No Special Classes,2026-01-15,295,141,154,20.7,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10078060,null,Not applicable,null,null,null,2026-06-29,Streatley Place,Hampstead,null,London,null,NW3 1HU,http://www.newend.camden.sch.uk/,2074310961,Ms,Karyn,Ray,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013659,Hampstead Town,E14001265,Hampstead and Highgate,UN1,Urban: Nearer to a major town or city,E09000007,526483,185916,null,Camden 002,Camden 002C,null,null,null,null,null,999,null,null,null,null,null,5090648,null,E02000167,E01000895
100020,202,Camden,2475,Primrose Hill School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,2,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,483,2,No Special Classes,2026-01-15,414,205,209,37.9,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10073851,null,Not applicable,null,null,null,2026-06-29,Princess Road,null,null,London,null,NW1 8JL,www.primrosehill.camden.sch.uk,2077228500,Mr,Liam,Frost,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,ASD - Autistic Spectrum Disorder,null,null,null,null,null,null,null,null,null,null,null,null,Resourced provision,14,14,null,null,H,London,E09000007,Camden,E05013667,Primrose Hill,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,528304,183909,null,Camden 018,Camden 018E,null,null,null,null,null,999,null,null,null,null,null,5082685,null,E02000183,E01000862
100021,202,Camden,2502,Rhyl Community Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,2,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459,2,No Special Classes,2026-01-15,375,181,194,66.8,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10077182,null,Not applicable,null,null,null,2026-06-29,Rhyl Street,null,null,London,null,NW5 3HB,www.rhylprim.camden.sch.uk/,2074854899,Mr,Don,McGibbon,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013660,Haverstock,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,528334,184823,null,Camden 012,Camden 012A,null,null,null,null,null,999,null,null,null,null,null,5082509,null,E02000177,E01000900
100022,202,Camden,2507,Richard Cobden Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,420,2,No Special Classes,2026-01-15,379,200,179,59.4,0,Not applicable,null,null,Not applicable,null,Not under a federation,null,null,10078059,null,Not applicable,null,null,null,2026-07-13,Camden Street,null,null,London,null,NW1 0LL,http://www.rcobden.camden.sch.uk/,2073875909,Ms,Ruby,Nasser,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,H,London,E09000007,Camden,E05013669,St Pancras & Somers Town,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529342,183487,null,Camden 019,Camden 019E,null,null,null,null,null,999,null,null,null,null,null,5120658,null,E02000184,E01000959
100023,202,Camden,2603,Torriano Primary School,1,Community school,4,Local authority maintained schools,1,Open,0,Not applicable,null,0,Not applicable,null,2,Primary,3,11,1,No boarders,Has Nursery Classes,2,Does not have a sixth form,3,Mixed,0,Does not apply,Does not apply,0000,Not applicable,0,Not applicable,459,2,No Special Classes,2026-01-15,450,222,228,40.4,0,Not applicable,null,null,Not applicable,null,Supported by a federation,17794,The Brecknock and Torriano Schools Federation,10077181,null,Not applicable,null,null,null,2026-06-30,Torriano Avenue,Kentish Town,null,London,null,NW5 2SJ,http://www.torriano.camden.sch.uk/,2074240202,Ms,Helen,Bruckdorfer,Headteacher,Not applicable,null,null,null,Not applicable,null,Not applicable,Not applicable,Not applicable,null,null,Not applicable,Not applicable,"SLCN - Speech, language and Communication",null,null,null,null,null,null,null,null,null,null,null,null,Resourced provision,11,14,null,null,H,London,E09000007,Camden,E05013664,Kentish Town South,E14001290,Holborn and St Pancras,UN1,Urban: Nearer to a major town or city,E09000007,529559,185072,null,Camden 009,Camden 009E,null,null,null,null,null,999,null,null,null,null,null,5090649,null,E02000174,E01000926
